(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.000823949464432848, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(436)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(617)), {C=0.000823949464432848, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(623)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(631)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(661)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.000961274375171656, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(696)), {C=0.000823949464432848, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(794)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(858)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(928)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1050)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1270)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1311)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1347)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1419)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1503)), {C=0.0006866245536940401, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(S)) --> (buy(1532)), {C=0.000823949464432848, S=0.0005836008170411438}
