(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(13)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(19)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(62)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(81)), {C=0.0009439050701186623, S=0.0006808676198813345}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(86)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(252)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(394)), {C=0.0008090614886731391, S=0.0005836008170411438}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(465)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(480)), {C=0.0008090614886731391, S=0.0005836008170411438}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(517)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(583)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(644)), {C=0.0009439050701186623, S=0.0006808676198813345}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(678)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(685)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(814)), {C=0.0008090614886731391, S=0.0005836008170411438}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(834)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(895)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(909)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(911)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(925)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(941)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(968)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(996)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1067)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1143)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1288)), {C=0.0008090614886731391, S=0.0005836008170411438}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1295)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1296)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1339)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1346)), {C=0.0008090614886731391, S=0.0005836008170411438}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1366)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1377)), {C=0.0008090614886731391, S=0.0005836008170411438}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1392)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1454)), {C=0.000674217907227616, S=0.00048633401420095323}
(age_group(YoungAdults))(education(High School Degree))(marital_status(S)) --> (buy(1467)), {C=0.000674217907227616, S=0.00048633401420095323}
