(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(7)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(40)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(43)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(45)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(59)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(61)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(66)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(78)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(80)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(86)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(88)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(89)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(90)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(102)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(107)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(108)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(123)), {C=0.0011775788977861517, S=0.00048633401420095323}
