(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(232)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(559)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(863)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1485)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(232)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(559)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(863)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1485)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(232)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(559)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(863)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0006510416666666666, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1485)), {C=0.0005425347222222222, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005425347222222222, S=0.00048633401420095323}
