(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(7)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(11)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(14)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(19)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(24)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(25)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(33)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(35)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(39)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(40)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(47)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(48)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(52)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(58)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(70)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(72)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(73)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(76)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(78)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(79)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(81)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(84)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(86)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(88)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(89)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(100)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(101)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(102)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(105)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(106)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(116)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(119)), {C=0.000780814277746793, S=0.0006808676198813345}
