(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006820506991019665, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005683755825849722, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006820506991019665, S=0.0005836008170411438}
