(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.0007168458781362007, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.0007168458781362007, S=0.00048633401420095323}
