(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(86)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(158)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(195)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(497)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(608)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(609)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(668)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(928)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1045)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0009488791365199859, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1357)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(86)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(158)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(195)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(497)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(608)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(609)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(668)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(928)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1045)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0009488791365199859, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1357)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(86)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(158)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(195)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(497)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(608)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(609)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(668)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(928)), {C=0.0007116593523899893, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1045)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0009488791365199859, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1357)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.0005930494603249911, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005930494603249911, S=0.00048633401420095323}
