(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(122)), {C=0.0008455467869222095, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(168)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(211)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(212)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(244)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(287)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(347)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(426)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(755)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(881)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(897)), {C=0.0008455467869222095, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1019)), {C=0.0008455467869222095, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1045)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1067)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1146)), {C=0.0008455467869222095, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1162)), {C=0.0008455467869222095, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1266)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1308)), {C=0.0009864712514092446, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1311)), {C=0.0007046223224351747, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(marital_status(S)) --> (buy(1355)), {C=0.0007046223224351747, S=0.00048633401420095323}
