(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(269)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1329)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1509)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(269)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1329)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1509)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(269)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0006109979633401221, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1329)), {C=0.0005091649694501019, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1509)), {C=0.0005091649694501019, S=0.00048633401420095323}
