(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(13)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(43)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(89)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(166)), {C=0.000643293663557414, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(179)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(218)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(252)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(255)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(644)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(812)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(814)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(849)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(909)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(911)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1067)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1190)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1288)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1392)), {C=0.0007505092741503163, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1454)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1466)), {C=0.0005360780529645116, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(N)) --> (buy(1467)), {C=0.0005360780529645116, S=0.00048633401420095323}
