(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0008467400508044031, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(4)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(42)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(50)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(67)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(107)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(170)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0007408975444538526, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(195)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(220)), {C=0.0007408975444538526, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(269)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(362)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(368)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(380)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(439)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(448)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(456)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(476)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(479)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(480)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(483)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(497)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(556)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(559)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(564)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0006350550381033022, S=0.0005836008170411438}
