(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(7)), {C=0.0007400359446030235, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(30)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(122)), {C=0.0008457553652605985, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(138)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(146)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(168)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(176)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(185)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(211)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(216)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(240)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(244)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(250)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(274)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(308)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(347)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(370)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(384)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(404)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(422)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(426)), {C=0.0008457553652605985, S=0.0007781344227215252}
