(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0005257070760172432, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0005257070760172432, S=0.00048633401420095323}
