(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(3)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(4)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(16)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(17)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(42)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(46)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(50)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(64)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(67)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(70)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(75)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(90)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(95)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(107)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(111)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(125)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(134)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(137)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(148)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(156)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(174)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(186)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(201)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(220)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(232)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(246)), {C=0.0005270925574530887, S=0.00048633401420095323}
