(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(6)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(11)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(27)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(36)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(43)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(47)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(61)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(72)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(83)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(89)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(98)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(112)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(113)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(115)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(118)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(122)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(126)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(133)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(150)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(168)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(176)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(180)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(185)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(192)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(203)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(211)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(212)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(221)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(225)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(228)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(244)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(249)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(261)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(266)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(270)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(287)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(301)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(308)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(310)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(319)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(323)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(336)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(346)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(347)), {C=0.0005880969183721477, S=0.00048633401420095323}
