(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(11)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(13)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(38)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(39)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(76)), {C=0.0007362221287336979, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(81)), {C=0.0007362221287336979, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(86)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(132)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(150)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(152)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(153)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(167)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(195)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(252)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(309)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(331)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(349)), {C=0.0009465713083718975, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(354)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(372)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(383)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(384)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(394)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(419)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(461)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(465)), {C=0.0007362221287336979, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(467)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(503)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(517)), {C=0.0007362221287336979, S=0.0006808676198813345}
