(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(270)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(475)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(688)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(270)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(475)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(688)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(270)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(475)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(688)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0005279831045406548, S=0.00048633401420095323}
