(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(6)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(13)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(37)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(43)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(47)), {C=0.0008270321361058601, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(51)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(72)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(83)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(113)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(115)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(118)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(122)), {C=0.000945179584120983, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(133)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(150)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(168)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(180)), {C=0.0007088846880907372, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(187)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(192)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(201)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(206)), {C=0.0005907372400756144, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(211)), {C=0.000945179584120983, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(212)), {C=0.0005907372400756144, S=0.00048633401420095323}
