(country(USA))(age_group(YoungAdults)) --> (buy(2)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(3)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(5)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(6)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(7)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(8)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(9)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(10)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(11)), {C=0.0026312492168901144, S=0.0020426028596440037}
(country(USA))(age_group(YoungAdults)) --> (buy(12)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(13)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(14)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(15)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(16)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(17)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(18)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(19)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(20)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(21)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(22)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(23)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(24)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(25)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(26)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(27)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(28)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(29)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(30)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(31)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(32)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(33)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(34)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(35)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(36)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(37)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(38)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(39)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(40)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(41)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(42)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(43)), {C=0.00238065405337677, S=0.0018480692539636222}
(country(USA))(age_group(YoungAdults)) --> (buy(44)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(45)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(46)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(47)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(48)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(49)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(50)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(51)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(52)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(53)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(54)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(55)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(56)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(57)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(58)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(59)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(60)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(61)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(62)), {C=0.002255356471620098, S=0.0017508024511234317}
(country(USA))(age_group(YoungAdults)) --> (buy(63)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(64)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(65)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(66)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(67)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(68)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(69)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(70)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(71)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(72)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(73)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(74)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(75)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(76)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(77)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(78)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(79)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(80)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(81)), {C=0.0018794637263500815, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults)) --> (buy(82)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(83)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(84)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(85)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(86)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(88)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(89)), {C=0.002505951635133442, S=0.001945336056803813}
(country(USA))(age_group(YoungAdults)) --> (buy(90)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(91)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(92)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(93)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(94)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(95)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(96)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(97)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(98)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(99)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(100)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(101)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(102)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(103)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(104)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(105)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(106)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(107)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(108)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(109)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(110)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(111)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(112)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(113)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(114)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(115)), {C=0.0018794637263500815, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults)) --> (buy(116)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(117)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(118)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(119)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(120)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(121)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(122)), {C=0.0018794637263500815, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults)) --> (buy(123)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(124)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(125)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(126)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(127)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(128)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(129)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(130)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(131)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(132)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(133)), {C=0.0018794637263500815, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults)) --> (buy(134)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(135)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(136)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(137)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(138)), {C=0.002505951635133442, S=0.001945336056803813}
(country(USA))(age_group(YoungAdults)) --> (buy(139)), {C=0.0018794637263500815, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults)) --> (buy(140)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(141)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(142)), {C=0.001127678235810049, S=0.0008754012255617158}
