(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(25)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(27)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(44)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(53)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(68)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(94)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.001297016861219196, S=0.0012644684369224784}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(98)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(107)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(121)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(122)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(132)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(134)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(161)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(173)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(184)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(192)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(198)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(204)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(214)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(216)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(223)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(227)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(241)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(242)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(254)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(259)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(273)), {C=0.00049885263893046, S=0.00048633401420095323}
