(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(2)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(6)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(7)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(8)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(12)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(13)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(14)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(19)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(20)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(21)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(22)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(26)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(28)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(29)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(30)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(33)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(34)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(37)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(39)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(40)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(41)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(42)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(43)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(45)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(46)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(48)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(49)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(53)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(54)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(55)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(58)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(59)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(60)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(61)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(62)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(63)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(64)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(66)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(67)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(70)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(73)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(74)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(75)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(78)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(79)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(80)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(82)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(83)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(84)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(85)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(86)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(87)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(88)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(89)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(90)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(91)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(92)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(95)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(96)), {C=0.000516049127876974, S=0.00048633401420095323}
