(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(3)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(4)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(8)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(12)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(15)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(17)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(24)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(25)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(27)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(29)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(34)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(36)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(38)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(39)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(40)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(43)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(44)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(45)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(46)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(47)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(48)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(52)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(53)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(55)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(67)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(68)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(76)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(82)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(83)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(85)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(94)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(96)), {C=0.001422908832198394, S=0.001361735239762669}
