(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(4)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(5)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(10)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(15)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(16)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(19)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(20)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(21)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(23)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(24)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(26)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(27)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(29)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(32)), {C=0.000630053554552137, S=0.0005836008170411438}
