(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(16)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(20)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(31)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(42)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.0006992308460693237, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(61)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(69)), {C=0.0004994506043352313, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(89)), {C=0.0005993407252022774, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(103)), {C=0.0004994506043352313, S=0.00048633401420095323}
