(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(36)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(41)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(53)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(174)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(181)), {C=0.0007578218036158926, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(238)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(256)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(308)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(313)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(335)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(344)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(349)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(353)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(384)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(385)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(416)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(418)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(424)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(440)), {C=0.0007578218036158926, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(443)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(468)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(511)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(521)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(530)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(542)), {C=0.0007578218036158926, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(562)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(580)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(592)), {C=0.0005413012882970661, S=0.00048633401420095323}
