(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(11)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(12)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(17)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(18)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(19)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(24)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(26)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(30)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(36)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(41)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(43)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(47)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(58)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(60)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(62)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(63)), {C=0.0008328375966686495, S=0.0006808676198813345}
