(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(2)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(5)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(10)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(11)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(12)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(19)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(21)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(22)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(29)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(33)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(36)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(40)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(41)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(42)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(43)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(45)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0013355998057309375, S=0.001069934831242097}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(55)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(60)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(66)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(71)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(72)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(74)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(77)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(78)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(79)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(80)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(84)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(85)), {C=0.0012141816415735796, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(87)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(91)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(96)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(98)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(106)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(107)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(109)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(110)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(112)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(113)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(118)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(125)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(126)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(127)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(129)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(133)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(141)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(142)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(149)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(150)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(155)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(159)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(168)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(174)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(178)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(181)), {C=0.0013355998057309375, S=0.001069934831242097}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(182)), {C=0.0007285089849441476, S=0.0005836008170411438}
