(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(21)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(45)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(49)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(54)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(61)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(63)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(82)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(94)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(109)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(130)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(141)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(145)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(156)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(157)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(170)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(198)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(200)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(211)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(228)), {C=0.0005322546306152864, S=0.00048633401420095323}
