(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(5)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(19)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(25)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(29)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(33)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(42)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(53)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(71)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(77)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(127)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(148)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(165)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(182)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(185)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(198)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(207)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(237)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(247)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(250)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0007286353700426772, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0006245446028937233, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(314)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(330)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.0005204538357447694, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(house_owner(Y))(marital_status(M)) --> (buy(351)), {C=0.0005204538357447694, S=0.00048633401420095323}
