(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.0005924755603831342, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(547)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(629)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0006912214871136565, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(828)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(892)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(988)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1030)), {C=0.0004937296336526119, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.0005924755603831342, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1182)), {C=0.0005924755603831342, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1480)), {C=0.0004937296336526119, S=0.00048633401420095323}
