(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(53)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(451)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(498)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(532)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(582)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(584)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(604)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(648)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(712)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(876)), {C=0.0006097560975609756, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(962)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(970)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(984)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1044)), {C=0.0007113821138211382, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1110)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1162)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1399)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1453)), {C=0.0005081300813008131, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1487)), {C=0.0005081300813008131, S=0.00048633401420095323}
