(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(35)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(62)), {C=0.0007053015163982602, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(103)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(238)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(243)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(315)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(414)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(415)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(448)), {C=0.0007053015163982602, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(612)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(872)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(934)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(938)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(969)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(997)), {C=0.0007053015163982602, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1024)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1104)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1246)), {C=0.0007053015163982602, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1253)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1289)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1348)), {C=0.0005877512636652169, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1355)), {C=0.0007053015163982602, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1364)), {C=0.0007053015163982602, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Silver)) --> (buy(1470)), {C=0.0005877512636652169, S=0.00048633401420095323}
