(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(3)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(4)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(6)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(7)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0016794625719769671, S=0.001361735239762669}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(12)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(13)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(14)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(18)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(21)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(22)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(23)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(24)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(25)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(27)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(28)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(30)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(33)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(34)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(36)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(37)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(44)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(49)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(50)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(51)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(54)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(60)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(63)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(64)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(65)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(68)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(69)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(70)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(71)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(73)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(75)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(79)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(89)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(90)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(92)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(93)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(95)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(97)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(99)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(100)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(102)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(104)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(110)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(111)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(112)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(114)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(116)), {C=0.0016794625719769671, S=0.001361735239762669}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(117)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(118)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(120)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(122)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(126)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(127)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(131)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(133)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(135)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(141)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(142)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(143)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(146)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(147)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(148)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(150)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(157)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(159)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(161)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(164)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(168)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(169)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(171)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(172)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(175)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(178)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(185)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(186)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(187)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(188)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(190)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(192)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(193)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(194)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(195)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(196)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(199)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(202)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(203)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(204)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(205)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(207)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(211)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(214)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(216)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(219)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0016794625719769671, S=0.001361735239762669}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(224)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(228)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0009596928982725529, S=0.0007781344227215252}
