(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.0007745076344323965, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0006638636866563399, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.0007745076344323965, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0006638636866563399, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.0007745076344323965, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0005532197388802833, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0006638636866563399, S=0.0005836008170411438}
