(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(2)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(11)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(22)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(24)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(30)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(38)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(39)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(40)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(43)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(47)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(48)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(52)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(59)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(67)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(73)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(78)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(80)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(81)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(82)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(86)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(89)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(90)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(91)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(100)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(102)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(105)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(106)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(113)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(125)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(128)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(135)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(138)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(146)), {C=0.0011784115012962526, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(149)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(153)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(164)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(170)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(173)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(176)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(178)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(179)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(195)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(199)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(201)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(205)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(207)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(216)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(224)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(226)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(227)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(229)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(232)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(238)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(253)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(257)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(259)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(262)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(264)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(277)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(278)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(307)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(322)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(335)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(339)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(340)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(342)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(349)), {C=0.0012962526514258778, S=0.001069934831242097}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(351)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(353)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(361)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(370)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(378)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(379)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(384)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(386)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(388)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(394)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(396)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(397)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(398)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(399)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(404)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(410)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(413)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(414)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(418)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(419)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(426)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(428)), {C=0.0011784115012962526, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(429)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(434)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(439)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(443)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(445)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(446)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(447)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(451)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(455)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(456)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(457)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(458)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(459)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(460)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(461)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(463)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(465)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(466)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(476)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(489)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(490)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(492)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(493)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(495)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(501)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(502)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(503)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(510)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(516)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(517)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(522)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(535)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(539)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(550)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(551)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(552)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(562)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(563)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(564)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(569)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(571)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(575)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(576)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(582)), {C=0.0007070469007777515, S=0.0005836008170411438}
