(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(56)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(67)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(96)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(108)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(212)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(225)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(244)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(274)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(289)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(307)), {C=0.001185302252074279, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(333)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(343)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(347)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(353)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(368)), {C=0.0010536020018438036, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(384)), {C=0.0006585012511523772, S=0.00048633401420095323}
