(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1176)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1218)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1329)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1419)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1532)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1176)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1218)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1329)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1419)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1532)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1176)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1218)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1329)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1419)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1532)), {C=0.0005027652086475616, S=0.00048633401420095323}
