(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006071031063442274, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006071031063442274, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006071031063442274, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006071031063442274, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006071031063442274, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006071031063442274, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005059192552868562, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005059192552868562, S=0.00048633401420095323}
