(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(41)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(198)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(338)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(438)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(439)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(441)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(502)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(592)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(661)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(814)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(897)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(958)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(965)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1042)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1053)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1206)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1352)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1398)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1416)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1437)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1558)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(41)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(198)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(338)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(438)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(439)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(441)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(502)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(592)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(661)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(814)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(897)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(958)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(965)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1042)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1053)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1206)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1352)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1398)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1416)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1437)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(1558)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(41)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(198)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(338)), {C=0.0006387735547748322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(438)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(439)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(441)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(502)), {C=0.0005323112956456936, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(592)), {C=0.0005323112956456936, S=0.00048633401420095323}
