(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(56)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(107)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(180)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(201)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(212)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(269)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(361)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(368)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(384)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(424)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(441)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(443)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(456)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(463)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(472)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(479)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(480)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(497)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(526)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(529)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(555)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(559)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(585)), {C=0.0005277044854881267, S=0.00048633401420095323}
