(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(72)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(105)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(141)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(147)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(216)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(374)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(397)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(431)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0006021073758153537, S=0.0005836008170411438}
