(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(4)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(21)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(26)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(35)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(36)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(41)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(48)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(56)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(59)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(76)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(86)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(107)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(108)), {C=0.0009304248940349427, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(111)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(115)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(123)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(124)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(131)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(136)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(142)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(149)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(151)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(156)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(162)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(163)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(180)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(185)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(190)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(195)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(198)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(201)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(202)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(212)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(220)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(225)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(227)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(236)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(244)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(265)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(269)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(271)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(274)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(280)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(293)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(298)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(304)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(311)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(312)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(322)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(328)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(329)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(333)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(334)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(338)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(341)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(343)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(351)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(356)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(358)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(359)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(366)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(368)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(375)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(384)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(386)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(394)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(420)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(421)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(422)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(423)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(426)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(428)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(432)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(438)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(439)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(440)), {C=0.0005169027189083015, S=0.00048633401420095323}
