(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(11)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(24)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(26)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(30)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(31)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(32)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(33)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(34)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(38)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(39)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(43)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(48)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(64)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(67)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(76)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(81)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(86)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(88)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(89)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(90)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(91)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(96)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(107)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(114)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(115)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(122)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(127)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(132)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(145)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(146)), {C=0.001032204789430223, S=0.0009726680284019065}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(150)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(157)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(162)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(164)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(176)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(178)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(195)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(198)), {C=0.0005161023947151115, S=0.00048633401420095323}
