(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0005909001378766988, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0005909001378766988, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0005909001378766988, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0005909001378766988, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0005909001378766988, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0004924167815639158, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0005909001378766988, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0004924167815639158, S=0.00048633401420095323}
