(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(7)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(11)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(14)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(88)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(116)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(132)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(154)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(160)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(172)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(231)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(241)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(257)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(267)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(268)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(275)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(278)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(290)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(341)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(355)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(378)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(455)), {C=0.0007918440067306741, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(465)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(467)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(525)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(541)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(575)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(580)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(601)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(725)), {C=0.0006928635058893397, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(739)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(806)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(819)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(849)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(865)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(898)), {C=0.0006928635058893397, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(911)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(950)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(960)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(979)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1000)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1123)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1126)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1182)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1361)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1436)), {C=0.0004949025042066713, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1441)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1453)), {C=0.0005938830050480054, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1464)), {C=0.0006928635058893397, S=0.0006808676198813345}
