(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0007011217948717949, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(443)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(483)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(608)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(837)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1063)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1309)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1357)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0007011217948717949, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(443)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(483)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(608)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(837)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1063)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1309)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1357)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0007011217948717949, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(443)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(483)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(608)), {C=0.0005008012820512821, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(837)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1063)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1309)), {C=0.0006009615384615385, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1357)), {C=0.0005008012820512821, S=0.00048633401420095323}
