(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(16)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(19)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(20)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(27)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(45)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(71)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(98)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(107)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(132)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(135)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(141)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(152)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(181)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(185)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(190)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(204)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(213)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(223)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(228)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(243)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(274)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(278)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(281)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(286)), {C=0.0005998800239952009, S=0.0005836008170411438}
