(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(2)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(7)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(8)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(11)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(12)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(13)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(21)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(23)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(24)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(25)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(27)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(30)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(31)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(33)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(34)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(37)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(39)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(41)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(42)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(43)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(44)), {C=0.0005068423720223011, S=0.00048633401420095323}
