(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(165)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(186)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0005903187721369539, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(223)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(326)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(375)), {C=0.0004919323101141283, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(378)), {C=0.0005903187721369539, S=0.0005836008170411438}
