(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0005915409642117716, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0005915409642117716, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(381)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0006901311249137335, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0005915409642117716, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0004929508035098097, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0004929508035098097, S=0.00048633401420095323}
