(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(266)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(385)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(626)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(797)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(894)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(902)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0006986027944111776, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1035)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1068)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1136)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1156)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1181)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1202)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1214)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1234)), {C=0.0006986027944111776, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1246)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1302)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1332)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1337)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1381)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1383)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1390)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1405)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1442)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1488)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0005988023952095807, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1517)), {C=0.000499001996007984, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1521)), {C=0.0005988023952095807, S=0.0005836008170411438}
