(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(17)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(32)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(42)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(59)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(94)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(96)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(109)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(119)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(136)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(150)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(165)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(168)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(186)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(202)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(206)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(214)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(223)), {C=0.0007953076846605031, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(228)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(232)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(248)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(258)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(262)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(263)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(264)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(284)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(297)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(298)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(315)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(326)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(339)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(341)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(358)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(362)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(371)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(375)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(378)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(402)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(404)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(411)), {C=0.0005964807634953772, S=0.0005836008170411438}
