(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(31)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0006905396073789089, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(228)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(405)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(553)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(596)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0006905396073789089, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(915)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1001)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1057)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1145)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1283)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1302)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1332)), {C=0.0005918910920390647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.0004932425766992207, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1478)), {C=0.0004932425766992207, S=0.00048633401420095323}
