(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0007261410788381742, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(45)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(118)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(157)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(162)), {C=0.0006224066390041493, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(176)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(244)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(271)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(286)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0006224066390041493, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(440)), {C=0.0006224066390041493, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(510)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(525)), {C=0.0007261410788381742, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(536)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(592)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(636)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(639)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(643)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.0006224066390041493, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(819)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(827)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(842)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(897)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(942)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(958)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1046)), {C=0.0006224066390041493, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1120)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1124)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1145)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1153)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1209)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1241)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1302)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1389)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1401)), {C=0.0005186721991701245, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1436)), {C=0.0006224066390041493, S=0.0005836008170411438}
