(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(20)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(23)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(27)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(30)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(36)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(42)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(43)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(50)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(56)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(61)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(66)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(85)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(95)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(98)), {C=0.0005114566284779051, S=0.00048633401420095323}
