(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(24)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(62)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(76)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(106)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(129)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(138)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(194)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(274)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(285)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(292)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(307)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(308)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(320)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(331)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(355)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(372)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(379)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(419)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(425)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(432)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(436)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(443)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(445)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(460)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(465)), {C=0.0008564393533882882, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(483)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(491)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(498)), {C=0.0007493844342147521, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(581)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(607)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(610)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(612)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(688)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(716)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(833)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(863)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(879)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(901)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(905)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(925)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(935)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(961)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1037)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1046)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1093)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1101)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1111)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1124)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1144)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1167)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1217)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1243)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1280)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1309)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1310)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1316)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1356)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1360)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1365)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1378)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1394)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1438)), {C=0.0006423295150412161, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1441)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1501)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1534)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1545)), {C=0.0005352745958676801, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1558)), {C=0.0005352745958676801, S=0.00048633401420095323}
