(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(42)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(54)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(177)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(186)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(524)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(544)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(605)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(662)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(714)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(783)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(942)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1021)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1050)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1152)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1157)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1232)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1292)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1311)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1312)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1313)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1418)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1498)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1502)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1511)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0005014542172299669, S=0.00048633401420095323}
