(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(84)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(254)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(297)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(413)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(430)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0007118161480577588, S=0.0006808676198813345}
