(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(13)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(30)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(148)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(266)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(309)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(316)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0007011920264449564, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0006010217369528197, S=0.0005836008170411438}
