(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(2)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(3)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(4)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(6)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(8)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(11)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(15)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(16)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(18)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(21)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(34)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(35)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(37)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(39)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(40)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(41)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(47)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(52)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(55)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(58)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(62)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(63)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(64)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(65)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(67)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(68)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(70)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(72)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(75)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(76)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(79)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(82)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(85)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(90)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(97)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(98)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(99)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(100)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(107)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(108)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(110)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(111)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(112)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(115)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(116)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(118)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(119)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(120)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(121)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(122)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(125)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(126)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(129)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(130)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(131)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(132)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(134)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(137)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(138)), {C=0.0008079175924055747, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(139)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(145)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(146)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(151)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(154)), {C=0.0005049484952534841, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(155)), {C=0.0007069278933548777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(160)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(161)), {C=0.0009089072914562715, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(163)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(164)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(165)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(168)), {C=0.0006059381943041809, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(169)), {C=0.0005049484952534841, S=0.00048633401420095323}
