(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(53)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(78)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(106)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(235)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(384)), {C=0.0008194202601659327, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(412)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(418)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(424)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(501)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(505)), {C=0.0006145651951244494, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(551)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(584)), {C=0.0006145651951244494, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(652)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(712)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(820)), {C=0.000716992727645191, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(841)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(844)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(882)), {C=0.0006145651951244494, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(920)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(927)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(984)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(997)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1044)), {C=0.0006145651951244494, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1084)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1116)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1193)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1437)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1440)), {C=0.0005121376626037079, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0006145651951244494, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1538)), {C=0.0005121376626037079, S=0.00048633401420095323}
