(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(15)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(62)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(246)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(271)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(272)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(286)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(362)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(369)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(384)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(404)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(414)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(441)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(443)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(574)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(603)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(886)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(893)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(897)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(911)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(950)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(952)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1273)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1392)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1403)), {C=0.0006031969438021513, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1411)), {C=0.0007037297677691765, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1446)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1454)), {C=0.0005026641198351262, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(N)) --> (buy(1503)), {C=0.000804262591736202, S=0.0007781344227215252}
