(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(11)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(12)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(17)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(19)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(21)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(30)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(39)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(45)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(46)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(71)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(76)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(77)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(82)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(84)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(86)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(90)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(96)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(107)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(108)), {C=0.0008936550491510278, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(112)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(120)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(121)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(128)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(131)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(135)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(139)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(148)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(152)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(153)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(158)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(160)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(165)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(183)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(190)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(195)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(198)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(201)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(207)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(220)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(222)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(227)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(229)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(233)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(238)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(249)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(258)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(259)), {C=0.0008936550491510278, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(274)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(275)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(277)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(278)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(285)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(287)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(288)), {C=0.0004964750273061266, S=0.00048633401420095323}
